CVE-2004-0230: Fix unknown
CVE-2005-3660: Fix unknown
CVE-2007-3719: Fix unknown
CVE-2008-2544: Fix unknown
CVE-2008-4609: Fix unknown
CVE-2010-4563: Fix unknown
CVE-2010-5321: Fix unknown
CVE-2011-4917: Fix unknown
CVE-2012-4542: Fix unknown
CVE-2013-4312: Fixed with 3.16.35
CVE-2013-7421: Fixed with 3.16.35
CVE-2013-7445: Fix unknown
CVE-2013-7446: Fixed with 3.16.35
CVE-2014-3181: Fixed with 3.16.4
CVE-2014-3182: Fixed with 3.16.2
CVE-2014-3183: Fixed with 3.16.2
CVE-2014-3184: Fixed with 3.16.2
CVE-2014-3185: Fixed with 3.16.2
CVE-2014-3186: Fixed with 3.16.4
CVE-2014-3601: Fixed with 3.16.2
CVE-2014-3610: Fixed with 3.16.35
CVE-2014-3611: Fixed with 3.16.35
CVE-2014-3631: Fixed with 3.16.3
CVE-2014-3646: Fixed with 3.16.35
CVE-2014-3647: Fixed with 3.16.35
CVE-2014-3673: Fixed with 3.16.35
CVE-2014-3687: Fixed with 3.16.35
CVE-2014-3688: Fixed with 3.16.35
CVE-2014-3690: Fixed with 3.16.7
CVE-2014-4608: Fixed with 3.16.7
CVE-2014-5077: Fixed with 3.16
CVE-2014-5206: Fixed with 3.16.3
CVE-2014-5207: Fixed with 3.16.3
CVE-2014-5471: Fixed with 3.16.2
CVE-2014-5472: Fixed with 3.16.2
CVE-2014-6410: Fixed with 3.16.5
CVE-2014-6416: Fixed with 3.16.3
CVE-2014-6417: Fixed with 3.16.3
CVE-2014-6418: Fixed with 3.16.3
CVE-2014-7145: Fix not seen in stream
CVE-2014-7825: Fixed with 3.16.35
CVE-2014-7826: Fixed with 3.16.35
CVE-2014-7841: Fixed with 3.16.35
CVE-2014-7842: Fixed with 3.16.35
CVE-2014-7843: Fixed with 3.16.35
CVE-2014-7970: Fixed with 3.16.35
CVE-2014-7975: Fixed with 3.16.7
CVE-2014-8086: Fixed with 3.16.35
CVE-2014-8133: Fixed with 3.16.35
CVE-2014-8134: Fixed with 3.16.35
CVE-2014-8159: Fixed with 3.16.35
CVE-2014-8160: Fixed with 3.16.35
CVE-2014-8559: Fixed with 3.16.35
CVE-2014-8884: Fixed with 3.16.35
CVE-2014-8989: Fixed with 3.16.35
CVE-2014-9090: Fixed with 3.16.35
CVE-2014-9322: Fixed with 3.16.35
CVE-2014-9419: Fixed with 3.16.35
CVE-2014-9420: Fixed with 3.16.35
CVE-2014-9428: Fixed with 3.16.35
CVE-2014-9529: Fixed with 3.16.35
CVE-2014-9584: Fixed with 3.16.35
CVE-2014-9585: Fixed with 3.16.35
CVE-2014-9644: Fixed with 3.16.35
CVE-2014-9683: Fixed with 3.16.35
CVE-2014-9710: Fixed with 3.16.35
CVE-2014-9717: Fix not seen in stream
CVE-2014-9728: Fixed with 3.16.35
CVE-2014-9729: Fixed with 3.16.35
CVE-2014-9730: Fixed with 3.16.35
CVE-2014-9731: Fixed with 3.16.35
CVE-2014-9904: Fixed with 3.16.37
CVE-2014-9922: Fixed with 3.16.37
CVE-2014-9940: Fixed with 3.16.45
CVE-2015-0239: Fixed with 3.16.35
CVE-2015-0275: Fixed with 3.16.35
CVE-2015-1333: Fixed with 3.16.35
CVE-2015-1350: Fixed with 3.16.39
CVE-2015-1420: Fixed with 3.16.35
CVE-2015-1421: Fixed with 3.16.35
CVE-2015-1465: Fixed with 3.16.35
CVE-2015-1593: Fixed with 3.16.35
CVE-2015-2041: Fixed with 3.16.35
CVE-2015-2042: Fixed with 3.16.35
CVE-2015-2150: Fixed with 3.16.35
CVE-2015-2666: Fixed with 3.16.35
CVE-2015-2830: Fixed with 3.16.35
CVE-2015-2877: Fix unknown
CVE-2015-2922: Fixed with 3.16.35
CVE-2015-2925: Fixed with 3.16.35
CVE-2015-3212: Fixed with 3.16.35
CVE-2015-3288: Fixed with 3.16.35
CVE-2015-3290: Fixed with 3.16.35
CVE-2015-3291: Fixed with 3.16.35
CVE-2015-3331: Fixed with 3.16.35
CVE-2015-3332: Fixed with 3.16.35
CVE-2015-3339: Fix not seen in stream
CVE-2015-3636: Fixed with 3.16.35
CVE-2015-4001: Fixed with 3.16.35
CVE-2015-4002: Fixed with 3.16.35
CVE-2015-4003: Fixed with 3.16.35
CVE-2015-4004: Fix not seen in stream
CVE-2015-4036: Fixed with 3.16.35
CVE-2015-4167: Fixed with 3.16.35
CVE-2015-4692: Fixed with 3.16.35
