CVE-2005-3660: Fix unknown
CVE-2007-3719: Fix unknown
CVE-2008-2544: Fix unknown
CVE-2008-4609: Fix unknown
CVE-2010-4563: Fix unknown
CVE-2010-5321: Fix unknown
CVE-2011-4917: Fix unknown
CVE-2012-4542: Fix unknown
CVE-2013-4312: Fixed with 4.4.1
CVE-2013-7445: Fix unknown
CVE-2015-1350: Fix not seen in stream
CVE-2015-2877: Fix unknown
CVE-2015-7566: Fixed with 4.4.2
CVE-2015-8553: Fix unknown
CVE-2015-8709: Fixed with 4.4.40
CVE-2015-8812: Fixed with 4.4.4
CVE-2015-8839: Fixed with 4.4.9
CVE-2015-8952: Fix not seen in stream
CVE-2015-8963: Fixed with 4.4
CVE-2015-8964: Fixed with 4.4.34
CVE-2015-8970: Fixed with 4.4.2
CVE-2016-0617: Fixed with 4.4.3
CVE-2016-0723: Fixed with 4.4.2
CVE-2016-0728: Fixed with 4.4.1
CVE-2016-0758: Fixed with 4.4.21
CVE-2016-10044: Fixed with 4.4.24
CVE-2016-10088: Fixed with 4.4.41
CVE-2016-10147: Fixed with 4.4.39
CVE-2016-10200: Fixed with 4.4.38
CVE-2016-10208: Fixed with 4.4.48
CVE-2016-10229: Fixed with 4.4.21
CVE-2016-10318: Fixed with 4.4.22
CVE-2016-1237: Fixed with 4.4.16
CVE-2016-1575: Fixed with 4.4.3
CVE-2016-1576: Fixed with 4.4.3
CVE-2016-1583: Fixed with 4.4.14
CVE-2016-2069: Fixed with 4.4.1
CVE-2016-2070: Fixed with 4.4
CVE-2016-2085: Fixed with 4.4.2
CVE-2016-2117: Fixed with 4.4.11
CVE-2016-2143: Fixed with 4.4.6
CVE-2016-2184: Fixed with 4.4.7
CVE-2016-2185: Fixed with 4.4.7
CVE-2016-2186: Fixed with 4.4.7
CVE-2016-2187: Fixed with 4.4.9
CVE-2016-2188: Fixed with 4.4.55
CVE-2016-2383: Fixed with 4.4.4
CVE-2016-2384: Fixed with 4.4.2
CVE-2016-2543: Fixed with 4.4.1
CVE-2016-2544: Fixed with 4.4.1
CVE-2016-2545: Fixed with 4.4.1
CVE-2016-2546: Fixed with 4.4.1
CVE-2016-2547: Fixed with 4.4.1
CVE-2016-2548: Fixed with 4.4.1
CVE-2016-2549: Fixed with 4.4.1
CVE-2016-2782: Fixed with 4.4.2
CVE-2016-2847: Fixed with 4.4.13
CVE-2016-3044: Fixed with 4.4.6
CVE-2016-3134: Fixed with 4.4.14
CVE-2016-3135: Fixed with 4.4.21
CVE-2016-3136: Fixed with 4.4.7
CVE-2016-3137: Fixed with 4.4.7
CVE-2016-3138: Fixed with 4.4.7
CVE-2016-3140: Fixed with 4.4.7
CVE-2016-3156: Fixed with 4.4.8
CVE-2016-3157: Fixed with 4.4.7
CVE-2016-3672: Fixed with 4.4.18
