CVE-2004-0230: Fix unknown
CVE-2005-3660: Fix unknown
CVE-2007-3719: Fix unknown
CVE-2008-2544: Fix unknown
CVE-2008-4609: Fix unknown
CVE-2010-4563: Fix unknown
CVE-2010-5321: Fix unknown
CVE-2011-4917: Fix unknown
CVE-2012-4542: Fix unknown
CVE-2013-7445: Fix unknown
CVE-2015-2877: Fix unknown
CVE-2015-8553: Fix unknown
CVE-2015-8709: Fixed with 4.9.1
CVE-2016-10088: Fixed with 4.9.2
CVE-2016-10147: Fixed with 4.9
CVE-2016-10153: Fixed with 4.9.6
CVE-2016-10154: Fixed with 4.9.1
CVE-2016-10208: Fixed with 4.9.9
CVE-2016-2188: Fixed with 4.9.16
CVE-2016-8399: Fixed with 4.9
CVE-2016-8405: Fixed with 4.9.7
CVE-2016-8636: Fixed with 4.9.10
CVE-2016-8660: Fix unknown
CVE-2016-9191: Fixed with 4.9.5
CVE-2016-9576: Fixed with 4.9
CVE-2016-9588: Fixed with 4.9.2
CVE-2016-9604: Fixed with 4.9.25
CVE-2017-0786: Fixed with 4.9.55
CVE-2017-1000111: Fixed with 4.9.43
CVE-2017-1000112: Fixed with 4.9.43
CVE-2017-1000251: Fixed with 4.9.50
CVE-2017-1000252: Fixed with 4.9.53
CVE-2017-1000255: Fixed with 4.9.55
CVE-2017-1000363: Fixed with 4.9.30
CVE-2017-1000364: Fixed with 4.9.34
CVE-2017-1000365: Fixed with 4.9.35
CVE-2017-1000370: Fixed with 4.9.39
CVE-2017-1000371: Fixed with 4.9.39
CVE-2017-1000379: Fixed with 4.9.34
CVE-2017-1000380: Fixed with 4.9.32
CVE-2017-10661: Fixed with 4.9.27
CVE-2017-10662: Fixed with 4.9.28
CVE-2017-10663: Fixed with 4.9.42
CVE-2017-10810: Fixed with 4.9.37
CVE-2017-10911: Fixed with 4.9.35
CVE-2017-11176: Fixed with 4.9.38
CVE-2017-11472: Fix not seen in stream
CVE-2017-11473: Fixed with 4.9.40
CVE-2017-11600: Fixed with 4.9.48
CVE-2017-12134: Fixed with 4.9.45
CVE-2017-12146: Fixed with 4.9.37
CVE-2017-12153: Fixed with 4.9.53
CVE-2017-12154: Fixed with 4.9.53
CVE-2017-12188: Fixed with 4.9.57
CVE-2017-12190: Fixed with 4.9.57
CVE-2017-12192: Fixed with 4.9.53
CVE-2017-12762: Fixed with 4.9.41
CVE-2017-13693: Fix unknown
CVE-2017-13694: Fix unknown
CVE-2017-13695: Fix unknown
CVE-2017-14051: Fixed with 4.9.52
CVE-2017-14106: Fixed with 4.9.51
CVE-2017-14140: Fixed with 4.9.45
CVE-2017-14156: Fixed with 4.9.53
CVE-2017-14340: Fixed with 4.9.50
